page,title,description,bedrooms,bathrooms,toilets,garage,location,city,price
7,Very Standard And Clean Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Lekki Phase 2, Lekki, Lagos",Lekki,2400000
7,Brand New Big And Standard Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Lekki Phase 1, Lekki, Lagos",Lekki,2400000
7,Luxury Brand New 3 Bedroom Flat With Guest Room,3 bedroom flat / apartment for rent,3,4,5,0,"Banana Island, Ikoyi, Lagos",Ikoyi,10000000
7,Six Units Of Three Bedroom Apartment,3 bedroom flat / apartment for rent,3,2,3,0,"Victoria Island (VI), Lagos",Victoria Island,5500000
7,Two Bedroom Flat,2 bedroom flat / apartment for rent,2,1,2,0,"Ologolo, Lekki, Lagos",Lekki,2200000
7,Newly Built 2 Bedroom En-suite Flat,2 bedroom flat / apartment for rent,2,2,3,1,"Sangotedo, Ajah, Lagos",Ajah,1200000
7,Newly Renovated Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,3,"Close To Ogunlana Drive, Itire-Ikate, Surulere, Lagos",Surulere,500000
7,Luxury Room Shared Apartment,Self contain (single rooms) for rent,0,1,1,1,"Ilasan, Lekki, Lagos",Lekki,1200000
7,Massive 3 Bedroom Serviced Apartment Upstairs,3 bedroom flat / apartment for rent,3,3,4,0,"Fully Serviced Inside A Gated Estate Estate Off Shoprite Road, Osapa, Lekki, Lagos",Lekki,3300000
7,Spacious 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,0,"Inside A Gated Estate Off Domino Pizza Road, Ologolo, Lekki, Lagos",Lekki,2200000
7,3bedroomflat Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Yaba, Lagos",Yaba,1500000
7,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Off Shaki Crescent, Aguda, Surulere, Lagos",Surulere,600000
7,Newly Built Lovely Standard 3 Bedroom Flat With Modern Facilities,3 bedroom flat / apartment for rent,3,3,4,0,"Millennium Estate, Gbagada, Lagos",Gbagada,3000000
7,Just Out For Decent 3 Bedroom Flat With Modern Facilities Just 2 In The Compound,3 bedroom flat / apartment for rent,3,2,3,2,"Akoka, Yaba, Lagos",Yaba,1600000
7,A Room Self Contained,1 bedroom flat / apartment for rent,1,1,1,1,"Yaba, Lagos",Yaba,350000
8,"Renovated Block Of City View 4 Bedroom Apartments With Bq, Tennis, Squash",4 bedroom flat / apartment for rent,4,4,5,2,"Banana Island Estate, Banana Island, Ikoyi, Lagos",Ikoyi,13000000
8,A Room Self Contained Serviced Flat,1 bedroom flat / apartment for rent,1,1,1,1,"Yaba, Lagos",Yaba,450000
8,"Decent And Neat Mini Flat, In A Secured Location",1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Joseph Avenue, Sangotedo, Ajah, Lagos",Ajah,700000
8,A Room And Parlor Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Mega Estate, Badore, Ajah, Lagos",Ajah,550000
8,2bedroomflat Apartment,2 bedroom flat / apartment for rent,2,3,3,2,"Yaba, Lagos",Yaba,1200000
8,3 Bedroom Flat With A Room Bq,3 bedroom flat / apartment for rent,3,3,4,2,"Ikeja, Lagos",Ikeja,80000000
8,Clean Mini Flat Ground Floor Available,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Good News Estate, Sangotedo, Ajah, Lagos",Ajah,600000
8,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Oniru, Victoria Island (VI), Lagos",Victoria Island,7000000
8,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Oniru, Victoria Island (VI), Lagos",Victoria Island,7500000
8,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Oniru, Victoria Island (VI), Lagos",Victoria Island,6000000
8,1 Bedroom (mini Flat) With Granite Top Kitchen Comes With A Guest Room,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Off Emma Abimbola Cole Street, Lekki Phase 1, Lekki, Lagos",Lekki,2200000
8,Luxury 3 Bedroom Apartment With Excellent Facilities,3 bedroom flat / apartment for rent,3,3,4,2,"Badore, Ado, Ajah, Lagos",Ajah,1300000
8,3 Bedroom Luxury Apartment Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Oniru, Victoria Island (VI), Lagos",Victoria Island,16400000
8,3 Bedroom Luxury Apartment Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Victoria Island (VI), Lagos",Victoria Island,15000000
8,Serviced Mini Flat (stand Alone),1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Huponu Wusu Street, Lekki Phase 1, Lekki, Lagos",Lekki,2400000
8,3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Idado, Lekki, Lagos",Lekki,3000000
8,Brand New Two Bedroom Apartment Available,2 bedroom flat / apartment for rent,2,2,3,3,"Orchid Road, Lekki Phase 2, Lekki, Lagos",Lekki,2500000
