title,description,bedrooms,bathrooms,toilets,location,city,price
6 Units of 3 Bedroom Flats with Park View,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,7000000
Furnished 3 Bedroom Mansion with Nice Interior Decorations,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,36000000
Luxury 3 Bedroom Maansbay with Excellent Facilities and Water View,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,5000000
Newly Built 2 Bedroom Apartment with Swimming Area,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi, Banana Island, Ikoyi",Ikoyi,13000000
12 Units of 3 Bedroom Flat with Amazing Facilities,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,12000000
Upscale 3 Bedroom Tango Tower with Amazing Facilities,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,13000000
Newly Built 3 Bedroom Apartment with Swimming Area,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,10000000
Newly Built 3 Bedroom Apartment with Park View,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,5000000
Furnished 2 Bedroom Apartment with Excellent Facilities,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi, Banana Island, Ikoyi",Ikoyi,6000000
Spacious 4 Bedroom Apartment with Excellent Facilities,4 Bedroom Flat & Apartment,4,4,5,"Ikoyi , Banana Island, Ikoyi",Ikoyi,15000000
Lovely 3 bedroom with bq,3 Bedroom Flat & Apartment,3,3,4,"Banana Island, Ikoyi",Ikoyi,12000000
2 Units of 1 Bedroom Apartment with Swimming Area,Flat & Apartment,1,1,2,"Ikoyi, Banana Island, Ikoyi",Ikoyi,7000000
Waterfront 3 Bedroom Apartment + Bq+ Pool Etc In Victoria Island @N5m/N3.8M,3 Bedroom Flat & Apartment,3,3,4,Victoria Island,Victoria Island,5000000
Newly Built 2 Bedroom Apartment with Swimming Area and Ample Parking Space,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi, Banana Island, Ikoyi",Ikoyi,4000000
Lovely 2Bedroom Flat for Rent,2 Bedroom Flat & Apartment,2,2,3,"Ologolo, Lekki",Lekki,2500000
Very neat and decent upgraded  3 bedroom groundfloor  maisonette,3 Bedroom Flat & Apartment,3,3,4,"1004 Estate, Victoria Island",Victoria Island,5500000
Lovely 4 Bedroom Self-serviced Terrace Duplex Home,4 Bedroom Terrace,4,4,5,"4 Bedroom Self-Serviced Terrace Duplex House In Thomas Estate Ajah, Thomas Estate, Ajah",Ajah,2800000
Serviced 3 Bedroom Apartment with Excellent Facilities,3 Bedroom Flat & Apartment,3,3,4,"Vi, Victoria Island",Victoria Island,130000000
Furnished Mini flat with Amazing Facilities,Bungalow,1,1,2,"Lekki, Lekki Expressway, Lekki",Lekki,900000
3 bedroom luxury apartment for rent,3 Bedroom Flat & Apartment,3,3,4,"Maitama, Abuja Phase 1",Abuja,10000000
5 Bedroom Fully Detached Duplex with bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,6500000
5 bedroom fully-detached duplex with a room bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,5000000
Modern 4 Bedroom Terrace Duplex,4 Bedroom Terrace,4,4,5,"Lekki, Lekki Phase 1, Lekki",Lekki,8500000
Serviced 3 Nos of Palatial 3 Bedroom Apartments,3 Bedroom Flat & Apartment,3,3,4,"Sowemimo,  Ikeja G.R.A, Ikeja",Ikeja,4000000
5 bedroom fully-detached duplex with a room bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,6000000
Well Built & Serviced Centrally Located 3 Bedroom Apartment + Bq+Pool Etc @N8m!,3 Bedroom Flat & Apartment,3,3,4,"Off Gerrard Road, Ikoyi",Ikoyi,8000001
5bedroom fully detached duplex with a room BQ,5 Bedroom Duplex,5,6,7,"Osapa, Lekki",Lekki,6500000
Lovely 3Bedroom Flat Apartment,3 Bedroom Flat & Apartment,3,3,4,"Banana Road, Ikoyi",Ikoyi,9000000
New luxury  apartment of 2 bedrooms at Oluyole Estate,2 Bedroom Flat & Apartment,2,2,3,"Oluyole Estate, Ibadan",Ibadan,600000
Newly Built 2 Bedroom Apartment,2 Bedroom Flat & Apartment,2,2,3,"Banana Island, Ikoyi",Ikoyi,8000000
For Sale In IKoyi :  Luxury Apartment,3 Bedroom Flat & Apartment,3,4,5,"Old, Ikoyi",Ikoyi,12000000
